Advertiser ID,Advertiser Name,Advertiser URL,Advertiser Category,Program ID,Program Name,Program Logo URI,Active Date,Template Terms Name,Insertion Order Status,Tracking Link,Allows Deep Linking,Payout
5000383,Bytedance Pte. Ltd.,http://www.capcut.com/zh-tw/,"Apparel, Shoes & Accessories",22474,CapCut Affiliate Program,/display-logo-via-campaign/22474.gif,"Jan 13, 2025 00:39",Content Terms,Active,https://capcutaffiliateprogram.pxf.io/c/5980041/1876054/22474,true,"iPad-iOS-CapCut: 50%-60%
Purchase-PC: 50%-60%
Online Sale: 30%-45%
iPad-iOS-CapCut: USD3.00
Install-PC: USD3.00
Install: USD0.60-USD0.75"
6130537,Callie EU,https://www.callie.de/,Jewelry & Watches,33268,Callie EU,/display-logo-via-campaign/33268.gif,"Dec 8, 2025 11:30",Public IO,Active,https://calliegifts.pxf.io/c/5980041/2861164/33268,true,"Online Sale-NL: 11%
Online Sale-ES: 11%
Online Sale-IT: 11%
Online Sale-FR: 11%
Online Sale-DE: 11%"
2309331,CBD For Life,http://www.cbdforlife.us/,Sports Apparel & Accessories,11575,CBD For Life,/display-logo-via-campaign/11575.gif,"Jan 29, 2025 11:20",Public Terms,Active,https://imp.i295461.net/c/5980041/819381/11575,true,Online Sale: 15%
5836993,Cellresearch Consumer Health Pte Ltd,https://www.cellresearchcorp.com/,Cosmetics & Skin Care,28321,Calecim Professional Affiliate,/display-logo-via-campaign/28321.gif,"Dec 8, 2025 21:25",Public Terms,Active,https://calecim.pxf.io/c/5980041/2200344/28321,true,Online Sale: 20%
3699452,Cerebelly,http://cerebelly.com,Food & Gifts,17551,Cerebelly,/display-logo-via-campaign/17551.gif,"Feb 3, 2025 18:17",Public Terms,Active,https://cerebelly.sjv.io/c/5980041/1487650/17551,true,"Online Sale: 8%
Recurring Order: 0%"
3314523,CHICV INTERNATIONAL HOLDING LIMITED,https://zolucky.com,Women's Apparel,18221,Kollyy,/display-logo-via-campaign/18221.gif,"Jan 29, 2025 11:28",Public Term,Active,https://kollyy.sjv.io/c/5980041/1566914/18221,true,Online Sale: 10%
5796252,"Cleanster, Inc.",https://cleanster.com,Home Improvement,28000,"Cleanster, Inc.",/display-logo-via-campaign/28000.gif,"Dec 8, 2025 21:25",Public Terms,Active,https://cleansterinc.sjv.io/c/5980041/2177883/28000,true,Job Completed: $10.00
3938260,Coffee Bros,http://coffeebros.com/,Gourmet,18282,Coffee Bros.: Specialty Coffee + Equipment,/display-logo-via-campaign/18282.gif,"Jan 29, 2025 11:27",Entry Affiliate Terms with Bonus,Active,https://coffeebros.sjv.io/c/5980041/1574164/18282,true,"Online Sale: 4%-10%
Recurring Subscription: 0%"
10330,Contrail Inc,http://www.valuemags.com,Books & Magazines,156,ValueMags Magazine Store,/display-logo-via-campaign/156.gif,"Dec 8, 2025 11:30",Public IO,Active,https://valuemags.evyy.net/c/5980041/609/156,true,ValueMags Sale: 40%
2837280,Cowinaudio,https://www.cowinaudio.com,Sports & Exercise Equipment,13794,Cowinaudio,/display-logo-via-campaign/13794.gif,"Jan 29, 2025 11:25",Public Terms,Expired,https://cowinaudio.pxf.io/c/5980041/1078083/13794,true,Online Sale: 10%
4649559,DESIGNME Hair,http://designmehair.com,Spa & Personal Grooming,20790,DESIGNME Hair,/display-logo-via-campaign/20790.gif,"Jan 29, 2025 11:29",Public Terms,Expired,https://designmehair.pxf.io/c/5980041/1766804/20790,true,Online Sale: 3%-10%
4649559,DESIGNME Hair,http://designmehair.com,Spa & Personal Grooming,20933,DESIGNME Hair Canada,/display-logo-via-campaign/20933.gif,"Jan 29, 2025 11:27",Public Terms,Expired,https://designmehaircanada.pxf.io/c/5980041/1774283/20933,true,Online Sale: 3%-10%
2430605,Digitrading Hongkong Limited,https://www.dhgate.com,Women's Apparel,12108,DHgate,/display-logo-via-campaign/12108.gif,"Dec 8, 2025 21:14",Public Terms,Active,https://dhgate.sjv.io/c/5980041/868543/12108,true,"Purchase: 2%-50%
Android - DHgate App: 2%-50%
iOS - DHgate App: 2%-50%"
